-4.358	0.0020891	4.358	3.14111	47
-2.23221	0.059509	2.233	3.11494	47
-2.22624	0.0886236	2.228	3.1018	47
-2.2199	0.117379	2.223	3.08877	47
-2.21318	0.146196	2.218	3.07563	47
-1.66276	0.175526	1.672	3.03642	47
-1.66528	0.19794	1.677	3.02328	47
-1.66749	0.220451	1.682	3.01015	47
-1.66744	0.242606	1.685	2.99711	47
-1.66806	0.265113	1.689	2.98398	47
-1.66348	0.28667	1.688	2.97094	47
-1.40141	0.279456	1.429	2.94476	47
-1.41913	0.302424	1.451	2.93163	47
-1.43457	0.325324	1.471	2.91859	47
-1.57147	0.42145	1.627	2.87957	47
-1.56195	0.440967	1.623	2.86643	47
-1.56373	0.463569	1.631	2.8534	47
-1.02438	0.408974	1.103	2.76174	47
-2.25444	1.00424	2.468	2.72253	47
-2.27193	1.04801	2.502	2.70939	47
-3.35304	1.65447	3.739	2.68322	47
-3.3426	1.70427	3.752	2.67009	47
-3.32033	1.86039	3.806	2.63087	47
-3.31206	1.91335	3.825	2.61774	47
-3.3023	1.96557	3.843	2.6047	47
-3.2941	2.01976	3.864	2.59156	47
-1.54468	1.06282	1.875	2.53893	47
-1.53559	1.08634	1.881	2.52589	47
-1.51472	1.10171	1.873	2.51276	47
-1.477	1.104	1.844	2.49972	47
-1.43747	1.10483	1.813	2.4863	47
-1.20787	1.00609	1.572	2.44708	47
-1.19456	1.02187	1.572	2.43395	47
-1.09131	1.03782	1.506	2.38131	47
-1.08198	1.05615	1.512	2.36827	47
-1.07336	1.07624	1.52	2.35485	47
-1.0676	1.09875	1.532	2.34181	47
-1.05582	1.11559	1.536	2.32868	47
-1.04797	1.13661	1.546	2.31564	47
-1.05299	1.1726	1.576	2.30251	47
-1.0557	1.20761	1.604	2.28918	47
-1.04882	1.23203	1.618	2.27604	47
-1.03842	1.25253	1.627	2.26301	47
-1.02753	1.27306	1.636	2.24987	47
-1.03	1.31072	1.667	2.23683	47
-1.03903	1.35939	1.711	2.22341	47
-2.03961	2.81841	3.479	2.19724	47
-1.97448	2.80469	3.43	2.1842	47
